batch_size,num_workers,seconds,imgs_per_sec,ram_mb,vms_mb,sys_ram_used_mb,sys_ram_avail_mb,cpu_percent,cuda_alloc_mb,cuda_reserved_mb,cuda_peak_mb,warning
28,16,179.80555287996927,179.2148773757268,1911.0,8383.08984375,14060.3515625,26714.16796875,0.0,23.8408203125,2060.0,1646.54150390625,
32,16,181.45347468058267,177.57847852569589,1345.53515625,8707.79296875,13762.140625,27012.37890625,0.0,23.8408203125,2352.0,1877.548828125,
48,16,182.9392466545105,176.1365031527896,2438.828125,10130.625,13484.17578125,27290.34375,0.0,23.2158203125,3516.0,2805.578125,
64,16,183.23845100402832,175.85707690878652,1697.13671875,11273.4296875,12103.62109375,28670.8984375,0.0,23.8408203125,4656.0,3733.607421875,
4,18,209.91689149538675,153.50763982341812,499.21875,6927.2578125,11991.09765625,28783.421875,0.0,23.2158203125,302.0,254.37255859375,
8,18,194.0836867491404,166.0218428078843,730.97265625,7262.47265625,12816.6640625,27957.85546875,0.0,23.8408203125,604.0,486.3798828125,
12,18,188.39349762598673,171.03686339538476,745.71875,7625.24609375,12949.06640625,27825.453125,0.0,22.9658203125,902.0,717.51220703125,
16,18,186.51942491531372,172.75495103867829,831.59375,7908.171875,12779.65625,27994.86328125,0.0,23.8408203125,1184.0,950.39453125,
20,18,201.5984663963318,160.15753490766636,922.71875,8206.828125,14835.9765625,25938.54296875,0.0,23.2158203125,1482.0,1182.52685546875,
28,18,194.43320711453757,165.73743422547082,1153.6640625,8914.26953125,14980.71875,25793.80078125,0.0,23.8408203125,2060.0,1646.54150390625,
32,18,192.18784093856812,167.65976268353987,1247.44140625,9206.91796875,13159.57421875,27614.9453125,0.0,23.8408203125,2352.0,1877.548828125,
48,18,191.45704007148743,168.3005789437759,2668.51171875,10629.75390625,13681.96875,27092.55078125,0.0,23.2158203125,3516.0,2805.578125,
64,18,196.19855268796286,164.2377814710148,1816.609375,11772.0390625,13115.79296875,27658.7265625,0.0,23.8408203125,4656.0,3733.607421875,
