epoch,train_loss,val_loss,train_acc,val_acc,lr,train_reg_mae,val_reg_mae,epoch_time_sec,total_time_sec,cuda_mem_alloc_mb,cuda_mem_reserved_mb,cuda_mem_peak_mb,sys_ram_mb,sys_vms_mb,cpu_percent
11,0.16919313327365357,0.15232923550096475,0.9569394918394518,0.9647326083718158,1e-05,0.6349075557108834,0.5496747356652325,504.04965376853943,5710.607912302017,22.208984375,1982.0,1594.39404296875,1571.35546875,4790.234375,99.4
12,0.16569885603695564,0.15006938498896172,0.9580939789771616,0.9651981230448383,1e-05,0.6308761023517934,0.5430438397414777,505.0523090362549,6215.661220788956,22.208984375,1982.0,1594.39404296875,1569.71875,4788.23046875,99.4
13,0.1635542413648693,0.14735292077051196,0.9587363952070163,0.9657753612393862,1e-05,0.6279728776115119,0.5410696189058674,505.88713002204895,6721.5699145793915,22.208984375,1982.0,1594.39404296875,1571.73828125,4790.609375,99.1
14,0.16088884381695004,0.1453842921400326,0.9590808792723007,0.9659429465216743,1e-05,0.6258997743123315,0.5367321505660931,505.6981415748596,7227.283277988434,22.208984375,1982.0,1594.39404296875,1571.7421875,4790.609375,98.7
15,0.16013065853777347,0.1439774537365509,0.9590901896524435,0.9660919112170415,1e-05,0.623994948221205,0.5341668521240964,505.1714189052582,7732.474751472473,22.208984375,1982.0,1594.39404296875,1571.359375,4790.171875,99.4
16,0.15856902586177044,0.14300289297881238,0.9597698474028694,0.9665388053031432,1e-05,0.6224823382776996,0.5325357666602348,502.5754704475403,8235.067748069763,22.208984375,1982.0,1594.39404296875,1571.796875,4790.609375,99.4
17,0.1566686563886643,0.14156497448391997,0.960184159319225,0.9670043199761656,1e-05,0.6204106454743493,0.5303096442007369,511.09363627433777,8746.176406621933,22.208984375,1982.0,1594.39404296875,1571.796875,4790.609375,98.6
18,0.15565490731798917,0.1395364738001911,0.9605053674341524,0.9670229405630866,1e-05,0.6178604688181544,0.524627666652389,506.5006175041199,9252.69554567337,22.208984375,1982.0,1594.39404296875,1571.796875,4790.609375,99.5
19,0.15401165435979763,0.1395605345218197,0.9609662312512219,0.9678236258006853,1e-05,0.6160764760385139,0.525019630454575,504.35772228240967,9757.068298578262,22.208984375,1982.0,1594.39404296875,1571.359375,4790.171875,99.6
20,0.1526915224385865,0.13716235091560433,0.9612734737959351,0.9678981081483689,1e-05,0.6154120162888147,0.5222251196829587,503.3005449771881,10260.36884355545,22.208984375,1982.0,1594.39404296875,1571.421875,4790.234375,99.6
21,0.1514568777121454,0.13616094521653202,0.9616505441917194,0.9681960375391032,1e-05,0.6135042509612274,0.5184440882003878,503.5621976852417,10763.949549913406,22.208984375,1982.0,1594.39404296875,1571.796875,4790.609375,99.3
22,0.15059999612635447,0.13511965769936443,0.9621952014300744,0.9685870698644421,1e-05,0.6112026432731732,0.5168441978524485,505.16954278945923,11269.137098789215,22.208984375,1982.0,1594.39404296875,1571.796875,4790.609375,99.1
23,0.14958617317518885,0.13389697090528255,0.9621393391492175,0.9685498286906004,1e-05,0.608370011444626,0.5149344822590812,503.06642150878906,11772.221520900726,22.208984375,1982.0,1594.39404296875,1571.796875,4790.609375,99.6
24,0.14799432115363653,0.13565445889737004,0.9630098596925712,0.9690898257113064,1e-05,0.6060660653068725,0.52377336515003,502.15097188949585,12274.390007257462,22.208984375,1982.0,1594.39404296875,1571.375,4790.171875,99.4
25,0.1468649111441951,0.13248782083569724,0.9629027903209288,0.96916430805899,1e-05,0.6053185464327916,0.5126524935105368,504.0763807296753,12778.46738743782,22.208984375,1982.0,1594.39404296875,1571.4375,4790.234375,99.4
26,0.14545369015727333,0.13249232978545464,0.9634474475592838,0.9697601668404588,1e-05,0.6042396612500412,0.5127645964134508,501.7249195575714,13280.210314512253,22.208984375,1982.0,1594.39404296875,1571.8125,4790.609375,99.7
27,0.14513622788692943,0.13178086934344,0.9637174485834257,0.9705236109042157,1e-05,0.6017609253635752,0.5087810811068784,503.71822237968445,13783.928536891937,22.208984375,1982.0,1594.39404296875,1571.8125,4790.609375,99.5
