x,y,delta_x,delta_y,new_field
16.000000,21.000000,-0.009993,0.011644,0
679.000000,390.000000,-0.000610,0.000885,0
190.000000,113.000000,0.007217,0.003273,0
135.000000,111.000000,-0.001053,-0.000832,0
12.000000,24.000000,-0.013292,0.011641,0
24.000000,9.000000,0.000010,0.000387,0
468.000000,112.000000,-0.000122,-0.000626,0
686.000000,385.000000,0.001099,-0.000458,0
152.000000,129.000000,0.000504,0.000061,0
673.000000,397.000000,-0.001831,0.001587,0
367.000000,113.000000,0.000183,-0.000053,0
397.000000,171.000000,-23.959259,0.168549,0
646.000000,111.000000,0.000977,0.000130,0
670.000000,405.000000,0.000732,-0.005737,0
392.000000,170.000000,-16.233856,0.155106,0
5.000000,115.000000,0.000109,-0.000099,0
4.000000,27.000000,-0.006116,0.008923,0
258.000000,112.000000,0.001740,0.007530,0
506.000000,128.000000,0.006348,0.011261,0
124.000000,112.000000,-0.000206,-0.000710,0
555.000000,245.000000,0.013062,0.014526,0
93.000000,114.000000,-0.000229,-0.000839,0
461.000000,111.000000,-0.004974,-0.024239,0
383.000000,171.000000,-15.834381,-0.073059,0
468.000000,121.000000,-0.000275,0.000175,0
692.000000,382.000000,0.003906,-0.001007,0
65.000000,182.000000,-14.355885,0.286209,0
236.000000,113.000000,-0.001373,-0.001183,0
29.000000,123.000000,0.082645,-0.004471,0
363.000000,110.000000,0.000885,-0.002342,0
70.000000,182.000000,-14.420567,0.329468,0
531.000000,110.000000,-0.000061,0.000320,0
532.000000,167.000000,-12.241455,0.054367,0
675.000000,166.000000,-11.084656,-0.092270,0
509.000000,114.000000,-0.000122,0.000404,0
48.000000,178.000000,-13.858253,0.315765,0
679.000000,169.000000,-11.142883,-0.100586,0
513.000000,118.000000,0.000000,0.000450,0
573.000000,125.000000,0.000427,0.000443,2
560.000000,121.000000,0.000183,0.000534,0
452.000000,125.000000,-0.163330,0.004837,0
477.000000,115.000000,0.000153,-0.000137,0
330.000000,126.000000,-0.000031,0.000130,0
566.000000,125.000000,0.000183,0.000732,0
591.000000,115.000000,0.000244,-0.000023,0
689.000000,122.000000,-0.000610,-0.000290,0
357.000000,124.000000,-0.001434,0.000374,0
551.000000,121.000000,0.000000,0.000259,0
474.000000,126.000000,-0.014893,0.002075,0
363.000000,118.000000,-0.000824,0.000244,0
276.000000,117.000000,-0.001862,0.000809,0
260.000000,124.000000,0.000366,0.000404,0
384.000000,118.000000,-0.000153,-0.000092,0
288.000000,118.000000,-0.008179,-0.000145,0
523.000000,119.000000,0.000183,-0.000137,0
444.000000,118.000000,-0.163300,0.003387,0
156.000000,121.000000,-0.000320,-0.000038,0
587.000000,123.000000,-0.000122,0.000351,0
249.000000,120.000000,-0.000046,-0.000092,0
105.000000,114.000000,-0.000122,0.000450,0
663.000000,114.000000,-0.000183,0.000061,0
21.000000,16.000000,-0.000038,-0.000059,0
16.000000,21.000000,0.009615,-0.011490,0
679.000000,390.000000,0.001892,0.000031,0
190.000000,113.000000,-0.012787,0.001518,0
135.000000,111.000000,0.001312,-0.000114,0
24.000000,9.000000,0.000044,-0.000232,0
468.000000,112.000000,-0.020721,0.000160,0
686.000000,385.000000,-0.000305,0.000275,0
152.000000,129.000000,-0.001343,0.000153,0
673.000000,397.000000,0.010193,-0.006714,0
367.000000,113.000000,-0.001038,-0.000931,0
670.000000,405.000000,0.010925,-0.005127,0
646.000000,111.000000,0.001038,0.000465,0
8.000000,23.000000,0.008331,-0.008905,0
5.000000,115.000000,0.000838,-0.000511,0
258.000000,112.000000,0.000061,-0.000526,0
506.000000,128.000000,-0.000336,-0.000328,0
396.000000,169.000000,-11.452911,0.131454,0
124.000000,112.000000,0.000954,0.000732,0
555.000000,245.000000,-0.003845,-0.021210,0
369.000000,170.000000,-12.844299,-0.004028,0
93.000000,114.000000,0.000183,0.000282,0
692.000000,382.000000,-0.000244,0.000275,0
461.000000,111.000000,-0.067993,0.016022,0
468.000000,121.000000,-0.012543,0.002403,0
56.000000,183.000000,-15.912613,0.376480,0
236.000000,113.000000,-0.000793,-0.013931,0
363.000000,110.000000,-0.002502,0.000031,0
531.000000,110.000000,0.000366,0.002571,0
664.000000,166.000000,-13.486572,-0.126556,0
29.000000,123.000000,-0.100080,0.016922,0
509.000000,114.000000,0.000366,-0.000725,0
668.000000,169.000000,-13.644836,-0.195984,0
513.000000,118.000000,0.000122,0.000107,0
519.000000,168.000000,-14.627655,-0.096115,0
573.000000,125.000000,-0.000366,0.000114,2
560.000000,121.000000,0.000061,-0.000175,0
452.000000,125.000000,0.000092,0.000229,0
477.000000,115.000000,-0.000122,0.000153,0
330.000000,126.000000,0.000031,-0.000168,0
566.000000,125.000000,-0.000061,0.000381,0
591.000000,115.000000,-0.000183,-0.000023,0
689.000000,122.000000,-0.000366,-0.000175,0
357.000000,124.000000,0.000275,0.000359,0
551.000000,121.000000,0.000000,0.000237,0
474.000000,126.000000,0.000061,-0.000092,0
363.000000,118.000000,-0.000214,-0.000381,0
276.000000,117.000000,0.000183,-0.000130,0
260.000000,124.000000,-0.000153,-0.000114,0
384.000000,118.000000,-0.000244,0.000031,0
288.000000,118.000000,0.000336,-0.000214,0
523.000000,119.000000,-0.000366,0.000031,0
444.000000,118.000000,0.000092,0.000023,0
156.000000,121.000000,-0.000214,-0.000137,0
587.000000,123.000000,0.000549,-0.000015,0
249.000000,120.000000,-0.000198,-0.000160,0
105.000000,114.000000,-0.000084,0.000267,0
663.000000,114.000000,0.000183,-0.000031,0
21.000000,16.000000,0.000000,0.000046,0
16.000000,21.000000,0.000017,0.000011,0
679.000000,390.000000,-0.001221,0.004547,0
190.000000,113.000000,-0.000076,0.000244,0
135.000000,111.000000,-0.000107,-0.000107,0
12.000000,24.000000,0.000111,-0.000046,0
24.000000,9.000000,0.000051,-0.000031,0
468.000000,112.000000,-0.000061,0.000023,0
686.000000,385.000000,0.005920,0.000458,0
152.000000,129.000000,-0.000229,0.000336,0
673.000000,397.000000,-0.002625,0.009430,0
671.000000,405.000000,0.000000,-0.001312,0
367.000000,113.000000,0.000275,0.000107,0
646.000000,111.000000,0.000793,-0.000351,0
5.000000,115.000000,-0.000228,-0.000206,0
4.000000,27.000000,0.000003,-0.000004,0
258.000000,112.000000,0.000488,0.000114,0
506.000000,128.000000,0.000031,-0.001091,0
468.000000,121.000000,0.000061,-0.000153,0
124.000000,112.000000,0.000717,-0.000732,0
555.000000,245.000000,0.006042,0.022278,0
93.000000,114.000000,-0.000206,-0.000023,0
692.000000,382.000000,0.007141,-0.000458,0
461.000000,111.000000,-0.000031,0.000290,0
357.000000,170.000000,-14.245087,0.012161,0
396.000000,169.000000,-0.136810,-0.586105,0
29.000000,123.000000,0.001019,-0.000259,0
236.000000,113.000000,0.000458,0.000961,0
401.000000,169.000000,-0.075348,-0.647781,0
363.000000,110.000000,-0.000092,-0.000099,0
509.000000,169.000000,-14.706482,0.020798,0
504.000000,167.000000,-14.888397,0.068436,0
531.000000,110.000000,-0.000610,0.000008,0
650.000000,166.000000,-11.905090,-0.045135,0
509.000000,114.000000,0.000519,0.000565,0
40.000000,184.000000,-16.924820,0.169540,0
513.000000,118.000000,0.000183,0.000145,0
573.000000,125.000000,0.000122,-0.000206,2
560.000000,121.000000,-0.001953,0.007019,0
452.000000,125.000000,-0.117371,-0.001534,0
477.000000,115.000000,-0.000153,-0.000160,0
330.000000,126.000000,-0.028198,0.001472,0
566.000000,125.000000,-0.000488,0.005203,0
591.000000,115.000000,-0.056824,0.000725,0
689.000000,122.000000,0.000000,-0.000114,0
357.000000,124.000000,0.004944,-0.003929,0
551.000000,121.000000,-0.002014,0.009056,0
474.000000,126.000000,0.000183,0.000175,0
363.000000,118.000000,0.003937,-0.000923,0
276.000000,117.000000,-0.000366,-0.000015,0
260.000000,124.000000,-0.005707,0.003525,0
384.000000,118.000000,0.004761,-0.006065,0
288.000000,118.000000,-0.000427,0.000053,0
523.000000,119.000000,-0.017761,-0.105835,0
444.000000,118.000000,-0.130829,-0.001488,0
156.000000,121.000000,0.000122,-0.000160,0
587.000000,123.000000,-0.055115,0.001289,0
249.000000,120.000000,0.011841,-0.002342,0
105.000000,114.000000,-0.006676,0.003067,0
663.000000,114.000000,0.005432,0.003448,0
21.000000,16.000000,0.000126,-0.000244,0
16.000000,21.000000,0.000057,-0.000185,0
678.000000,391.000000,0.006226,-0.012970,0
190.000000,113.000000,0.000076,-0.000328,0
135.000000,111.000000,0.000275,-0.000175,0
682.000000,387.000000,0.009827,-0.015747,0
12.000000,24.000000,-0.000153,0.000099,0
24.000000,9.000000,0.001059,-0.001982,0
468.000000,112.000000,-0.000763,0.000526,0
152.000000,129.000000,0.000366,-0.000031,0
673.000000,397.000000,-0.002502,-0.002258,0
671.000000,405.000000,-0.005005,0.008301,0
367.000000,113.000000,0.005371,-0.003494,0
646.000000,111.000000,0.330139,0.007088,0
689.000000,383.000000,0.006287,-0.015259,0
5.000000,115.000000,0.001544,0.006187,0
4.000000,27.000000,0.000054,0.000076,0
258.000000,112.000000,0.010010,-0.013496,0
506.000000,128.000000,-0.011536,-0.018951,0
468.000000,121.000000,-0.000122,0.000023,0
124.000000,112.000000,-0.000038,-0.001144,0
555.000000,245.000000,-0.017578,0.042328,0
93.000000,114.000000,-0.012955,0.031654,0
461.000000,111.000000,0.008850,0.019463,0
343.000000,170.000000,-14.985718,-0.006912,0
399.000000,168.000000,-0.173798,-0.463684,0
29.000000,123.000000,0.000101,0.000259,0
236.000000,113.000000,0.007324,0.009285,0
363.000000,110.000000,0.001770,-0.001450,0
23.000000,184.000000,-15.619522,0.395111,0
393.000000,168.000000,-0.314575,-0.512924,0
531.000000,110.000000,-0.017151,-0.049088,0
509.000000,114.000000,0.012573,-0.052979,0
490.000000,167.000000,-12.874268,0.012314,0
513.000000,118.000000,0.052368,-0.060875,0
18.000000,182.000000,-15.833378,0.669067,0
573.000000,125.000000,0.000061,-0.000229,2
560.000000,121.000000,0.001038,0.000206,0
452.000000,125.000000,-0.000122,0.000061,0
477.000000,115.000000,0.000183,0.000069,0
330.000000,126.000000,-0.000214,0.000023,0
566.000000,125.000000,0.000305,0.000137,0
689.000000,122.000000,-0.000305,-0.000031,0
591.000000,115.000000,0.000000,0.000053,0
357.000000,124.000000,0.001160,-0.000122,0
551.000000,121.000000,0.000916,0.000259,0
474.000000,126.000000,-0.000153,-0.000084,0
363.000000,118.000000,0.001160,0.000130,0
276.000000,117.000000,-0.000336,-0.000160,0
260.000000,124.000000,-0.000275,0.000290,0
384.000000,118.000000,0.002350,-0.010445,0
288.000000,118.000000,-0.000031,0.000237,0
523.000000,119.000000,-0.000122,0.000153,0
444.000000,118.000000,-0.000031,-0.000031,0
156.000000,121.000000,-0.000244,-0.000221,0
587.000000,123.000000,-0.000427,0.000305,0
249.000000,120.000000,0.000534,-0.003624,0
105.000000,114.000000,0.000389,-0.000343,0
663.000000,114.000000,-0.014038,-0.001083,0
21.000000,16.000000,0.000000,0.000000,0
16.000000,21.000000,0.000000,0.000000,0
678.000000,391.000000,-0.000244,0.000519,0
190.000000,113.000000,-0.000290,-0.000107,0
135.000000,111.000000,0.000504,0.000313,0
682.000000,387.000000,-0.000061,0.000366,0
12.000000,24.000000,0.000000,0.000000,0
24.000000,9.000000,0.000000,0.000000,0
468.000000,112.000000,0.000031,0.000275,0
152.000000,129.000000,-0.000305,0.000031,0
673.000000,397.000000,-0.005371,0.006805,0
670.000000,405.000000,-0.008057,0.018707,0
367.000000,113.000000,0.001953,-0.001472,0
646.000000,111.000000,-0.025696,-0.000122,0
689.000000,384.000000,-0.000061,-0.000061,0
5.000000,115.000000,-0.000790,-0.006958,0
4.000000,27.000000,0.000000,0.000000,0
258.000000,112.000000,0.007141,-0.002289,0
506.000000,128.000000,-0.000519,-0.000191,0
468.000000,121.000000,-0.000092,0.000214,0
124.000000,112.000000,0.001274,-0.000084,0
554.000000,245.000000,0.000671,0.006210,0
93.000000,114.000000,-0.000427,-0.000191,0
461.000000,111.000000,0.000000,-0.000404,0
328.000000,171.000000,-0.013184,0.013687,0
29.000000,123.000000,0.000042,0.000580,0
236.000000,113.000000,-0.001724,-0.013298,0
363.000000,110.000000,-0.000305,-0.000008,0
8.000000,184.000000,-0.057260,0.018402,0
531.000000,110.000000,-0.000610,-0.005226,0
509.000000,114.000000,-0.000244,-0.000183,0
512.000000,122.000000,0.000244,-0.000092,0
398.000000,168.000000,0.066223,0.005966,0
517.000000,119.000000,0.000244,0.000145,0
549.000000,114.000000,0.002319,-0.000710,0
538.000000,114.000000,-0.002502,-0.019363,0
482.000000,170.000000,-0.053772,-0.002975,0
573.000000,125.000000,-0.000122,0.000885,2
560.000000,121.000000,-0.000793,0.001312,0
452.000000,125.000000,0.001190,0.001129,0
477.000000,115.000000,0.000061,0.000137,0
330.000000,126.000000,0.026184,-0.002594,0
566.000000,125.000000,-0.000305,0.001495,0
689.000000,122.000000,0.000122,-0.000145,0
591.000000,115.000000,0.040710,-0.003593,0
357.000000,124.000000,-0.002716,0.004517,0
551.000000,121.000000,-0.000610,0.000275,0
474.000000,126.000000,-0.000031,0.000145,0
363.000000,118.000000,-0.001678,0.001152,0
276.000000,117.000000,0.000244,0.000237,0
260.000000,124.000000,0.000000,0.000046,0
384.000000,118.000000,0.001617,-0.000427,0
288.000000,118.000000,0.000000,0.000023,0
523.000000,119.000000,0.019531,0.105057,0
444.000000,118.000000,0.000946,0.001320,0
156.000000,121.000000,-0.002029,-0.009514,0
587.000000,123.000000,0.040161,-0.003822,0
249.000000,120.000000,0.009308,0.000206,0
105.000000,114.000000,-0.000092,0.000237,0
663.000000,114.000000,-0.000244,0.000381,0
21.000000,16.000000,-0.002867,0.004837,0
16.000000,21.000000,-0.002060,0.003834,0
678.000000,391.000000,-0.005188,0.011963,0
190.000000,113.000000,-0.000931,0.000000,0
135.000000,111.000000,0.000381,-0.000015,0
682.000000,387.000000,-0.008972,0.015259,0
12.000000,24.000000,0.002264,0.000322,0
24.000000,9.000000,-0.000769,0.000601,0
468.000000,112.000000,-0.001404,-0.001137,0
152.000000,129.000000,-0.001877,-0.007492,0
673.000000,397.000000,0.007141,-0.002380,0
670.000000,405.000000,0.011841,-0.022095,0
367.000000,113.000000,-0.001282,-0.000786,0
646.000000,111.000000,0.005371,0.003288,0
689.000000,384.000000,-0.004700,0.014832,0
5.000000,115.000000,-0.002217,0.005646,0
4.000000,27.000000,0.006633,-0.000851,0
258.000000,112.000000,0.012573,0.001221,0
506.000000,128.000000,0.018524,0.019653,0
468.000000,121.000000,-0.000031,0.000053,0
124.000000,112.000000,0.001251,-0.000664,0
554.000000,245.000000,-0.073242,-0.090881,0
93.000000,114.000000,-0.013374,0.000725,0
461.000000,111.000000,-0.008636,-0.018806,0
328.000000,171.000000,-13.963654,0.029541,0
29.000000,123.000000,0.000418,-0.000061,0
236.000000,113.000000,-0.001678,-0.013000,0
363.000000,110.000000,-0.002502,0.001129,0
531.000000,110.000000,0.015259,0.053398,0
509.000000,114.000000,0.020935,0.053749,0
512.000000,122.000000,-0.013214,0.080276,0
398.000000,168.000000,-0.329285,-0.137421,0
517.000000,119.000000,0.023926,0.067322,0
537.000000,114.000000,0.010559,0.167084,0
549.000000,114.000000,-0.001343,0.002686,0
573.000000,125.000000,-0.000366,-0.000145,2
560.000000,121.000000,-0.000183,-0.003540,0
452.000000,125.000000,0.001038,-0.002144,0
477.000000,115.000000,-0.000061,-0.000473,0
330.000000,126.000000,0.000336,-0.002266,0
591.000000,115.000000,0.012634,0.002350,0
566.000000,125.000000,-0.000061,-0.002281,0
689.000000,122.000000,0.000366,0.000023,0
357.000000,124.000000,-0.000305,-0.000023,0
551.000000,121.000000,0.003113,-0.004143,0
474.000000,126.000000,0.000031,0.000114,0
363.000000,118.000000,0.000122,-0.000427,0
276.000000,117.000000,0.000031,0.000198,0
260.000000,124.000000,-0.000092,-0.000183,0
384.000000,118.000000,-0.000031,0.000221,0
288.000000,118.000000,0.000061,-0.000053,0
523.000000,119.000000,0.000061,-0.000206,0
444.000000,118.000000,0.005585,-0.004303,0
156.000000,121.000000,0.000519,-0.000198,0
587.000000,123.000000,0.012512,0.002625,0
249.000000,120.000000,0.000168,-0.000282,0
105.000000,114.000000,-0.000633,0.000198,0
663.000000,114.000000,-0.000061,0.000061,0
21.000000,16.000000,0.000015,0.000004,0
16.000000,21.000000,-0.000011,0.000017,0
678.000000,391.000000,0.000061,-0.000183,0
190.000000,113.000000,0.000793,0.000252,0
135.000000,111.000000,-0.000687,-0.000916,0
682.000000,387.000000,0.005676,-0.005371,0
12.000000,24.000000,0.000071,-0.000053,0
24.000000,9.000000,0.000019,0.000095,0
468.000000,112.000000,-0.000122,0.000107,0
152.000000,129.000000,-0.001602,0.001877,0
673.000000,397.000000,-0.000061,0.000977,0
367.000000,113.000000,0.000305,0.000214,0
671.000000,405.000000,0.000000,0.000366,0
646.000000,111.000000,-0.000671,0.000267,0
689.000000,383.000000,0.020447,-0.012512,0
5.000000,115.000000,-0.000737,-0.000015,0
4.000000,26.000000,0.000043,0.000036,0
506.000000,128.000000,0.000488,-0.000900,0
259.000000,113.000000,-0.002197,0.001060,0
468.000000,121.000000,-0.000061,-0.000046,0
124.000000,112.000000,0.000214,0.001549,0
93.000000,114.000000,0.018089,-0.009377,0
461.000000,111.000000,0.000000,-0.000443,0
554.000000,245.000000,-0.010681,0.017517,0
314.000000,171.000000,-15.930878,0.173325,0
29.000000,123.000000,-0.000483,0.000267,0
236.000000,113.000000,0.000168,-0.000793,0
363.000000,110.000000,-0.000244,-0.000053,0
399.000000,168.000000,-0.048737,-0.263290,0
531.000000,110.000000,0.000549,0.000114,0
509.000000,114.000000,-0.000092,0.000359,0
549.000000,114.000000,0.005493,-0.002853,0
512.000000,122.000000,-0.000488,0.000847,0
538.000000,114.000000,0.000183,0.000816,0
517.000000,119.000000,0.000061,-0.000259,0
573.000000,125.000000,0.000366,-0.000496,2
560.000000,121.000000,-0.000549,-0.000702,0
452.000000,125.000000,0.016998,-0.026039,0
477.000000,115.000000,-0.048096,0.007790,0
330.000000,126.000000,-0.000763,-0.000015,0
566.000000,125.000000,-0.000244,-0.000008,0
689.000000,122.000000,0.000000,0.000427,0
591.000000,115.000000,-0.074097,-0.001831,0
357.000000,124.000000,-0.000671,-0.001839,0
551.000000,121.000000,0.000183,-0.002068,0
474.000000,126.000000,-0.203735,-0.014153,0
363.000000,118.000000,-0.001160,-0.001274,0
276.000000,117.000000,-0.000092,-0.000130,0
260.000000,124.000000,0.000885,-0.006554,0
384.000000,118.000000,0.000122,-0.000221,0
288.000000,118.000000,-0.000031,-0.000046,0
523.000000,119.000000,-0.001465,-0.007469,0
444.000000,118.000000,0.022766,-0.033875,0
156.000000,121.000000,0.001251,-0.000679,0
587.000000,123.000000,-0.071106,-0.000107,0
