x,y,delta_x,delta_y,new_field
25.000000,188.000000,-0.023952,-0.014603,0
62.000000,19.000000,52.165932,-0.133879,0
36.000000,34.000000,65.148201,-10.271667,0
23.000000,42.000000,61.080978,-34.573448,0
36.000000,43.000000,104.373032,-38.587315,0
88.000000,16.000000,-62.962082,3.127319,0
89.000000,10.000000,-62.870975,3.869969,0
36.000000,48.000000,25.878166,-23.124245,0
122.000000,20.000000,-6.189857,4.498249,0
117.000000,23.000000,-1.938393,3.451559,0
74.000000,26.000000,35.485947,-4.079762,0
117.000000,18.000000,-2.580124,3.753227,0
64.000000,14.000000,45.928589,1.879764,0
79.000000,38.000000,-78.021240,8.044712,0
64.000000,27.000000,86.870834,-17.133577,0
24.000000,50.000000,11.845345,-27.119900,0
143.000000,19.000000,-18.875145,8.676334,0
95.000000,11.000000,-62.689346,4.623569,0
80.000000,33.000000,-76.368790,7.535927,0
25.000000,35.000000,89.973488,-34.590008,0
43.000000,43.000000,47.214439,-33.237976,0
120.000000,10.000000,-6.727158,2.503104,0
33.000000,39.000000,97.717209,-36.926643,0
83.000000,5.000000,58.894196,0.328720,0
120.000000,3.000000,-6.981369,2.987922,0
48.000000,29.000000,104.755753,-32.619961,0
105.000000,23.000000,-55.197495,7.699127,0
100.000000,5.000000,-62.614922,3.879478,0
56.000000,30.000000,89.758087,-20.709038,0
97.000000,34.000000,-15.290314,-8.956253,0
91.000000,29.000000,-62.333679,0.577789,0
106.000000,8.000000,-54.588718,12.273502,0
112.000000,29.000000,1.785202,2.812664,0
74.000000,20.000000,41.851974,-0.375595,0
102.000000,34.000000,-21.413727,-7.965883,0
55.000000,45.000000,21.002495,-16.779016,0
107.000000,31.000000,3.756882,2.207108,0
131.000000,10.000000,-16.779854,8.161512,0
95.000000,109.000000,-3.575897,-0.055443,0
97.000000,20.000000,-64.714195,2.594906,0
136.000000,10.000000,-17.612709,7.930914,0
130.000000,96.000000,0.245728,0.021393,0
96.000000,29.000000,-64.696007,1.667322,0
100.000000,102.000000,-0.979218,-0.063873,0
52.000000,39.000000,21.779861,-16.746334,0
